,algorithm,dataset,K,bah_dist,fit_time,score_time,acc,balacc,auc
31,GDS3257_selected,GDS3257_selected,3,0.01489258918007889,1.0519630485110814,0.017116750140799167,0.8594516594516596,0.8466666666666666,0.9869528619528619
32,GDS3257_selected,GDS3257_selected,3,1.514374238338903,1.0527272436353896,0.016159360158728167,0.9249639249639251,0.918148148148148,0.9922727272727272
33,GDS3257_selected,GDS3257_selected,3,1.4670026469282655,1.0761229885949029,0.01590952373120396,0.9626262626262625,0.9596296296296296,0.9860101010101009
34,GDS3257_selected,GDS3257_selected,3,---,0.36567612753974066,0.045452124109396926,0.829004329004329,0.8426767676767677,0.907828282828283
35,GDS3257_selected,GDS3257_selected,3,---,0.0,0.016510097656170775,1.0,1.0,1.0
36,GDS3257_selected,GDS3257_selected,3,---,1.7254625108506945,0.0391595399103267,1.0,1.0,1.0
37,GDS3257_selected,GDS3257_selected,4,0.01489258918007889,0.9600328233506944,0.014824331239995431,0.8997113997113997,0.8911111111111111,0.9903142536475869
38,GDS3257_selected,GDS3257_selected,4,1.5959240655226146,1.036499113506741,0.016253204236768366,0.9249639249639251,0.9181481481481482,0.9928058361391694
39,GDS3257_selected,GDS3257_selected,4,1.5252538738671069,0.9611428101857503,0.014747217808185708,0.9626262626262625,0.9596296296296296,0.9841919191919193
40,GDS3257_selected,GDS3257_selected,4,---,0.3570591237809923,0.05614305310036411,0.8849927849927852,0.8925757575757577,0.9178058361391696
41,GDS3257_selected,GDS3257_selected,4,---,8.889834086100259e-05,0.014829737375087084,1.0,1.0,1.0
42,GDS3257_selected,GDS3257_selected,4,---,1.8964442518022329,0.04163447058543321,0.993939393939394,0.9933333333333334,1.0
43,GDS3257_selected,GDS3257_selected,5,0.01489258918007889,1.1044392426808676,0.01705428719644358,0.9062049062049062,0.8985185185185184,0.9958585858585859
44,GDS3257_selected,GDS3257_selected,5,1.6056709867019485,1.0911786185370551,0.01697578707464264,0.9372294372294372,0.9318518518518518,0.9964646464646466
45,GDS3257_selected,GDS3257_selected,5,1.5576851887572034,1.092614640129937,0.01704166883743936,0.9686868686868687,0.9662962962962962,0.9818181818181819
46,GDS3257_selected,GDS3257_selected,5,---,0.3727897167205811,0.0803740673223636,0.9067821067821068,0.9116666666666667,0.9251851851851852
47,GDS3257_selected,GDS3257_selected,5,---,0.0,0.01786848639649642,1.0,1.0,1.0
48,GDS3257_selected,GDS3257_selected,5,---,1.7799529888011791,0.038825989677320934,0.9907647907647908,0.9899999999999999,1.0
49,GDS3257_selected,GDS3257_selected,6,0.01489258918007889,0.9911849763658312,0.014932640863975135,0.9125541125541126,0.9051851851851852,0.9964646464646466
50,GDS3257_selected,GDS3257_selected,6,1.707583124954178,1.0362317879994711,0.015170597460658627,0.9404040404040404,0.9351851851851851,0.9946464646464648
51,GDS3257_selected,GDS3257_selected,6,1.599246017214584,0.9898640420701769,0.015087497073418133,0.9748917748917749,0.9729629629629629,0.9818181818181819
52,GDS3257_selected,GDS3257_selected,6,---,0.3805983384450277,0.11465169682804792,0.9191919191919192,0.9232828282828284,0.9346296296296297
53,GDS3257_selected,GDS3257_selected,6,---,0.0,0.014760822026776622,1.0,1.0,1.0
54,GDS3257_selected,GDS3257_selected,6,---,1.9769284001103153,0.041792850174182584,0.996969696969697,0.9966666666666666,1.0
55,GDS3257_selected,GDS3257_selected,7,0.01489258918007889,1.1005363570319282,0.016642086973814207,0.9125541125541126,0.9051851851851852,0.9964646464646466
56,GDS3257_selected,GDS3257_selected,7,1.6472759422192111,1.1132320351070828,0.01777595250653577,0.9497835497835498,0.9455555555555556,0.9952525252525253
57,GDS3257_selected,GDS3257_selected,7,1.6143911673677809,1.2231810516781276,0.01810462254477686,0.9748917748917749,0.9729629629629629,0.9812121212121212
58,GDS3257_selected,GDS3257_selected,7,---,0.4146752410464816,0.17155309456283555,0.9222222222222223,0.926060606060606,0.9387766554433221
59,GDS3257_selected,GDS3257_selected,7,---,0.0,0.015055611621306073,1.0,1.0,1.0
60,GDS3257_selected,GDS3257_selected,7,---,1.973624058122988,0.041919040696436906,0.996969696969697,0.9966666666666666,1.0
1,KentRidge_selected,KentRidge_selected,3,0.07497655370683366,0.4874991099039714,0.011265457744666753,0.8645299145299146,0.8166666666666667,0.9416666666666667
2,KentRidge_selected,KentRidge_selected,3,0.1306060293354071,0.5030500359005398,0.012562568469714094,0.8440170940170941,0.8150000000000001,0.9287500000000001
3,KentRidge_selected,KentRidge_selected,3,0.13163616634119432,0.43169352743360734,0.011186617676929762,0.6914529914529913,0.5991666666666667,0.7920833333333334
4,KentRidge_selected,KentRidge_selected,3,---,0.1923871941036648,0.03740103825873371,0.4901709401709402,0.4683333333333334,0.5118750000000001
5,KentRidge_selected,KentRidge_selected,3,---,0.0,0.013408194306076215,0.865811965811966,0.8450000000000001,0.880625
6,KentRidge_selected,KentRidge_selected,3,---,0.8298266622755263,0.022975234432744577,0.8760683760683761,0.8508333333333334,0.9195833333333333
7,KentRidge_selected,KentRidge_selected,4,0.07497655370683366,0.4890096611446804,0.013766509230418871,0.8756410256410256,0.8358333333333334,0.9475
8,KentRidge_selected,KentRidge_selected,4,0.0831838723088032,0.4874103864034017,0.011609429954200662,0.8551282051282052,0.8316666666666668,0.9216666666666666
9,KentRidge_selected,KentRidge_selected,4,0.12216537343161558,0.386373938454522,0.010176166411369078,0.6645299145299145,0.5591666666666666,0.8241666666666666
10,KentRidge_selected,KentRidge_selected,4,---,0.16679478221469457,0.042825947098407265,0.588034188034188,0.565,0.5595833333333334
11,KentRidge_selected,KentRidge_selected,4,---,0.0,0.0104628233072151,0.8555555555555557,0.8266666666666667,0.8841666666666667
12,KentRidge_selected,KentRidge_selected,4,---,0.7208221824080856,0.021089466099528286,0.870940170940171,0.8416666666666667,0.9170833333333334
13,KentRidge_selected,KentRidge_selected,5,0.07497655370683366,0.44200176133049857,0.012146911740730314,0.8705128205128205,0.8316666666666668,0.9516666666666667
14,KentRidge_selected,KentRidge_selected,5,0.08136227440896157,0.46137365765041777,0.011437445558527465,0.8551282051282052,0.8316666666666668,0.91
15,KentRidge_selected,KentRidge_selected,5,0.11385050427275266,0.3674460834927029,0.009667354672613109,0.6585470085470085,0.5491666666666667,0.8445833333333332
16,KentRidge_selected,KentRidge_selected,5,---,0.14751167827182346,0.06403825958142571,0.5615384615384615,0.5399999999999999,0.5797916666666666
17,KentRidge_selected,KentRidge_selected,5,---,0.0,0.011616084310743544,0.8555555555555557,0.8358333333333334,0.8902083333333334
18,KentRidge_selected,KentRidge_selected,5,---,0.7541751526020192,0.023423588546515935,0.8764957264957265,0.8458333333333333,0.9120833333333334
19,KentRidge_selected,KentRidge_selected,6,0.07497655370683366,0.3861075454288059,0.009531200573008547,0.8760683760683762,0.8441666666666667,0.93375
20,KentRidge_selected,KentRidge_selected,6,0.06300334988597601,0.40503504541185165,0.010548911214302091,0.8500000000000001,0.8250000000000001,0.8808333333333334
21,KentRidge_selected,KentRidge_selected,6,0.105185046916408,0.42618422508239745,0.010749481484881439,0.6367521367521368,0.5191666666666667,0.8599999999999999
22,KentRidge_selected,KentRidge_selected,6,---,0.16410157945421008,0.11853855057856516,0.608974358974359,0.5850000000000001,0.6302083333333334
23,KentRidge_selected,KentRidge_selected,6,---,0.0,0.01002470524080338,0.865811965811966,0.8400000000000001,0.8962500000000001
24,KentRidge_selected,KentRidge_selected,6,---,0.8457063657266123,0.025315702602427492,0.8551282051282052,0.8291666666666667,0.92
25,KentRidge_selected,KentRidge_selected,7,0.07497655370683366,0.39624566502041286,0.009548176574023393,0.8764957264957265,0.8483333333333334,0.9387500000000001
26,KentRidge_selected,KentRidge_selected,7,0.048994624891516764,0.38392153316073946,0.009570768657123745,0.8551282051282052,0.8316666666666668,0.8845833333333333
27,KentRidge_selected,KentRidge_selected,7,0.0956004276017529,0.3951064851548937,0.009309743467624898,0.6311965811965813,0.5083333333333333,0.8558333333333333
28,KentRidge_selected,KentRidge_selected,7,---,0.16823874049716525,0.1498788595199585,0.6735042735042736,0.6433333333333333,0.6945833333333334
29,KentRidge_selected,KentRidge_selected,7,---,0.0,0.01011234329592797,0.8551282051282053,0.8358333333333334,0.8835416666666666
30,KentRidge_selected,KentRidge_selected,7,---,0.8773661118966563,0.02720090109530031,0.865811965811966,0.8375,0.9270833333333334
91,Leukemia_selected,Leukemia_selected,3,0.007629434184575697,0.4340059280395508,0.00964977380670147,0.6844444444444444,0.5466666666666666,0.9617777777777778
92,Leukemia_selected,Leukemia_selected,3,0.09731562539276722,0.43970773484971787,0.009763056113396163,0.9206349206349208,0.8899999999999999,0.9691851851851853
93,Leukemia_selected,Leukemia_selected,3,0.036988564906044435,0.438056214650472,0.009678981922290943,0.8326984126984128,0.7692592592592594,0.9742222222222222
94,Leukemia_selected,Leukemia_selected,3,---,0.16928589079115128,0.025889315354971236,0.8704761904761907,0.8511111111111112,0.933925925925926
95,Leukemia_selected,Leukemia_selected,3,---,8.884535895453559e-05,0.009559410957642542,0.980952380952381,0.9733333333333334,0.9800000000000001
96,Leukemia_selected,Leukemia_selected,3,---,0.7393228424919976,0.020125592073785916,0.9857142857142858,0.9800000000000001,0.9925925925925926
97,Leukemia_selected,Leukemia_selected,4,0.007629434184575697,0.44480902353922525,0.00959263981124501,0.7352380952380954,0.6199999999999999,0.967851851851852
98,Leukemia_selected,Leukemia_selected,4,0.2246303519915388,0.448419533835517,0.010400121962582623,0.9301587301587303,0.9033333333333334,0.9721481481481482
99,Leukemia_selected,Leukemia_selected,4,0.09427884740895087,0.4515108956231011,0.010421227525781703,0.8149206349206347,0.7425925925925925,0.9631111111111111
100,Leukemia_selected,Leukemia_selected,4,---,0.1715068817138672,0.0376464205759543,0.9304761904761906,0.9222222222222223,0.9727407407407408
101,Leukemia_selected,Leukemia_selected,4,---,8.888774447970921e-05,0.00965782227339568,0.9669841269841271,0.9533333333333334,0.9800000000000001
102,Leukemia_selected,Leukemia_selected,4,---,0.7742187747248898,0.021188348041149815,0.9857142857142858,0.9800000000000001,0.997037037037037
103,Leukemia_selected,Leukemia_selected,5,0.007629434184575697,0.45844287872314454,0.010009439639103267,0.7717460317460317,0.6733333333333333,0.9708148148148149
104,Leukemia_selected,Leukemia_selected,5,0.25515763745252984,0.4741974671681722,0.01083398895499147,0.9206349206349208,0.89,0.9706666666666667
105,Leukemia_selected,Leukemia_selected,5,0.14083432349806926,0.5097740226321751,0.010811288047719884,0.783174603174603,0.6959259259259258,0.9585185185185187
106,Leukemia_selected,Leukemia_selected,5,---,0.20376149813334146,0.06861085840213446,0.9676190476190476,0.9662962962962962,1.0
107,Leukemia_selected,Leukemia_selected,5,---,0.0,0.011806016718899762,0.9765079365079365,0.9666666666666667,0.9800000000000001
108,Leukemia_selected,Leukemia_selected,5,---,0.9216658839473019,0.025031353220527557,0.980952380952381,0.9733333333333334,0.997037037037037
109,Leukemia_selected,Leukemia_selected,6,0.007629434184575697,0.4870795038011339,0.01094262025974415,0.7914285714285715,0.6999999999999998,0.9737777777777779
110,Leukemia_selected,Leukemia_selected,6,0.29929535140616614,0.5188435342576768,0.010675849737944427,0.9253968253968254,0.9,0.9794074074074074
111,Leukemia_selected,Leukemia_selected,6,0.17952896979984773,0.5035250186920166,0.010830149606422142,0.7739682539682539,0.6825925925925926,0.9515555555555557
112,Leukemia_selected,Leukemia_selected,6,---,0.21957885954115128,0.10332810989132633,0.9720634920634922,0.9666666666666667,1.0
113,Leukemia_selected,Leukemia_selected,6,---,0.0,0.00998133862460101,0.9574603174603176,0.9400000000000001,0.9800000000000001
114,Leukemia_selected,Leukemia_selected,6,---,1.0233796967400444,0.02835760035632569,0.980952380952381,0.9733333333333334,0.9985185185185185
115,Leukemia_selected,Leukemia_selected,7,0.007629434184575697,0.47648344039916996,0.010213021510913049,0.8095238095238095,0.7266666666666667,0.9708148148148149
116,Leukemia_selected,Leukemia_selected,7,0.3146408785884454,0.5041232744852702,0.010802724479157247,0.9253968253968254,0.902962962962963,0.9884444444444445
117,Leukemia_selected,Leukemia_selected,7,0.21083491760403458,0.4746168242560493,0.010101983576645086,0.7558730158730157,0.6559259259259259,0.9530370370370371
118,Leukemia_selected,Leukemia_selected,7,---,0.20687174797058105,0.15022223672749085,0.9720634920634922,0.9666666666666667,1.0
119,Leukemia_selected,Leukemia_selected,7,---,8.889834086100259e-05,0.010849630023226324,0.9761904761904763,0.9666666666666668,0.9933333333333334
120,Leukemia_selected,Leukemia_selected,7,---,1.118753214235659,0.03111850123837161,0.9761904761904763,0.9666666666666668,1.0
121,centralNervous_selected,centralNervous_selected,3,0.010504784987590356,0.3173315472073025,0.00830149209057843,0.6499999999999999,0.5,0.3329761904761905
122,centralNervous_selected,centralNervous_selected,3,0.29493146279135446,0.3224822574191623,0.008649317865018491,0.6444444444444444,0.49583333333333335,0.42886904761904765
123,centralNervous_selected,centralNervous_selected,3,0.35199975143858936,0.32292819023132324,0.008345692246048537,0.6444444444444444,0.49583333333333335,0.4755357142857143
124,centralNervous_selected,centralNervous_selected,3,---,0.12129721641540527,0.024619392995481135,0.6055555555555555,0.5392857142857144,0.4365178571428572
125,centralNervous_selected,centralNervous_selected,3,---,0.0,0.009197265130502206,0.611111111111111,0.549047619047619,0.6247321428571428
126,centralNervous_selected,centralNervous_selected,3,---,0.5986435431021231,0.02059160073598226,0.538888888888889,0.48749999999999993,0.5214285714285715
127,centralNervous_selected,centralNervous_selected,4,0.010504784987590356,0.3495495054456923,0.009845488159744828,0.6499999999999999,0.5,0.3616071428571429
128,centralNervous_selected,centralNervous_selected,4,0.18534295185674707,0.34878792232937283,0.00904776166986536,0.6444444444444444,0.49583333333333335,0.41660714285714284
129,centralNervous_selected,centralNervous_selected,4,0.2833151712052324,0.32737522655063206,0.008518658302448414,0.6444444444444444,0.49583333333333335,0.5182142857142857
130,centralNervous_selected,centralNervous_selected,4,---,0.1342712190416124,0.042411515889344394,0.5611111111111111,0.5047619047619047,0.4411309523809524
131,centralNervous_selected,centralNervous_selected,4,---,0.0,0.00916953925733213,0.6055555555555556,0.5066666666666666,0.6186607142857142
132,centralNervous_selected,centralNervous_selected,4,---,0.6226341600771305,0.021703736723205188,0.5444444444444445,0.5002380952380953,0.505952380952381
133,centralNervous_selected,centralNervous_selected,5,0.010504784987590356,0.35115599632263184,0.008787263322759557,0.6499999999999999,0.5,0.3695833333333333
134,centralNervous_selected,centralNervous_selected,5,0.1409949330926262,0.367605177561442,0.009289681911468506,0.6499999999999999,0.5,0.43446428571428564
135,centralNervous_selected,centralNervous_selected,5,0.24012237593272995,0.34119002554151745,0.008301675761187517,0.6388888888888888,0.49166666666666664,0.5179166666666667
136,centralNervous_selected,centralNervous_selected,5,---,0.14101244608561198,0.06475935556270458,0.5944444444444444,0.5514285714285715,0.4722321428571429
137,centralNervous_selected,centralNervous_selected,5,---,8.88665517171224e-05,0.009538013405270046,0.5944444444444444,0.5453571428571429,0.6098214285714286
138,centralNervous_selected,centralNervous_selected,5,---,0.7047634742878102,0.024013180202907988,0.5111111111111111,0.4514285714285714,0.4859523809523809
139,centralNervous_selected,centralNervous_selected,6,0.010504784987590356,0.34370216263665093,0.008745967458795618,0.6499999999999999,0.5,0.36559523809523814
140,centralNervous_selected,centralNervous_selected,6,0.04798473804437467,0.3338588979509142,0.00843994970674868,0.6444444444444444,0.49583333333333335,0.45125000000000004
141,centralNervous_selected,centralNervous_selected,6,0.179050804210208,0.3320804595947266,0.008432378150798656,0.6388888888888888,0.49166666666666664,0.47333333333333333
142,centralNervous_selected,centralNervous_selected,6,---,0.13622576925489638,0.09268618203975537,0.5833333333333334,0.5483333333333333,0.5616666666666668
143,centralNervous_selected,centralNervous_selected,6,---,8.887184990776909e-05,0.00949422695018627,0.6111111111111112,0.5229761904761905,0.6257738095238096
144,centralNervous_selected,centralNervous_selected,6,---,0.722516988824915,0.024445697702007527,0.5111111111111111,0.44059523809523804,0.5460119047619048
145,centralNervous_selected,centralNervous_selected,7,0.010504784987590356,0.35481585926479764,0.008582495318518745,0.6499999999999999,0.5,0.35327380952380955
146,centralNervous_selected,centralNervous_selected,7,0.03157223640700061,0.3532362249162462,0.008686497034849944,0.6444444444444444,0.49583333333333335,0.4366666666666667
147,centralNervous_selected,centralNervous_selected,7,0.13829529039645694,0.35665165053473574,0.00945492011529428,0.6444444444444444,0.49583333333333335,0.4611904761904762
148,centralNervous_selected,centralNervous_selected,7,---,0.1546150313483344,0.14612247988029764,0.5888888888888889,0.5566666666666666,0.5700000000000001
149,centralNervous_selected,centralNervous_selected,7,---,0.0,0.008908889470277008,0.6166666666666668,0.5645238095238095,0.622470238095238
150,centralNervous_selected,centralNervous_selected,7,---,0.7725222181390833,0.02729373301988766,0.5277777777777778,0.44952380952380955,0.5401190476190476
61,nottermantrans_selected,nottermantrans_selected,3,0.13109235385631543,0.1123287041982015,0.0051715786074414665,0.851190476190476,0.8555555555555555,1.0
62,nottermantrans_selected,nottermantrans_selected,3,0.09096506872643387,0.11188522974650066,0.005033641685674221,0.9642857142857143,0.9638888888888889,1.0
63,nottermantrans_selected,nottermantrans_selected,3,0.06273124973744423,0.11346552107069229,0.005054242081112332,0.9726190476190477,0.9722222222222222,1.0
64,nottermantrans_selected,nottermantrans_selected,3,---,0.043098100026448566,0.02067383939837232,0.8797619047619047,0.8833333333333333,0.9027777777777778
65,nottermantrans_selected,nottermantrans_selected,3,---,0.0,0.005043107050436514,1.0,1.0,1.0
66,nottermantrans_selected,nottermantrans_selected,3,---,0.19713004253528735,0.012445487357951977,1.0,1.0,1.0
67,nottermantrans_selected,nottermantrans_selected,4,0.13109235385631543,0.11739436255560981,0.005055516590306789,0.8785714285714283,0.8805555555555554,1.0
68,nottermantrans_selected,nottermantrans_selected,4,0.10688272803946887,0.1138414012061225,0.005109862780865327,0.9452380952380953,0.95,1.0
69,nottermantrans_selected,nottermantrans_selected,4,0.08998096814035353,0.11487991544935439,0.00498949451211058,0.9726190476190477,0.9722222222222222,1.0
70,nottermantrans_selected,nottermantrans_selected,4,---,0.04585293134053548,0.033597477424291915,0.9345238095238096,0.9333333333333333,0.9527777777777777
71,nottermantrans_selected,nottermantrans_selected,4,---,0.0,0.004949580740045618,1.0,1.0,1.0
72,nottermantrans_selected,nottermantrans_selected,4,---,0.22517008075007686,0.013557690897105653,1.0,1.0,1.0
73,nottermantrans_selected,nottermantrans_selected,5,0.13109235385631543,0.11934592988755967,0.005072861541936426,0.9083333333333333,0.9111111111111111,1.0
74,nottermantrans_selected,nottermantrans_selected,5,0.09767560406864756,0.11739577187432183,0.004974900204458354,0.9357142857142858,0.9416666666666667,1.0
75,nottermantrans_selected,nottermantrans_selected,5,0.09877051480221063,0.11742258071899414,0.005054991922260803,0.9726190476190477,0.9722222222222222,1.0
76,nottermantrans_selected,nottermantrans_selected,5,---,0.04807454215155707,0.05585023208900734,0.9535714285714287,0.9527777777777777,0.961111111111111
77,nottermantrans_selected,nottermantrans_selected,5,---,0.0,0.004994128221347007,1.0,1.0,1.0
78,nottermantrans_selected,nottermantrans_selected,5,---,0.2514161569100839,0.015132546179579119,1.0,1.0,1.0
79,nottermantrans_selected,nottermantrans_selected,6,0.13109235385631543,0.11962443987528483,0.004974143004711763,0.9083333333333333,0.9111111111111111,1.0
80,nottermantrans_selected,nottermantrans_selected,6,0.07482514780723287,0.11979484028286404,0.004990713095959322,0.9357142857142857,0.9388888888888889,1.0
81,nottermantrans_selected,nottermantrans_selected,6,0.0965828220052469,0.1204518847995334,0.005299947144072733,0.9821428571428572,0.9805555555555556,1.0
82,nottermantrans_selected,nottermantrans_selected,6,---,0.050473631752861875,0.08890749054190554,0.9630952380952382,0.9638888888888889,0.9722222222222222
83,nottermantrans_selected,nottermantrans_selected,6,---,0.0,0.0049586148909580565,1.0,1.0,1.0
84,nottermantrans_selected,nottermantrans_selected,6,---,0.28853828995316116,0.016973029193564207,0.9904761904761905,0.9916666666666667,1.0
85,nottermantrans_selected,nottermantrans_selected,7,0.13109235385631543,0.12112229665120443,0.005097219973434637,0.9166666666666666,0.9194444444444444,1.0
86,nottermantrans_selected,nottermantrans_selected,7,0.06391195542095081,0.12077599101596409,0.0051288707756701815,0.9452380952380953,0.9472222222222223,1.0
87,nottermantrans_selected,nottermantrans_selected,7,0.09123295440767482,0.12090535163879394,0.005060349717552279,0.9904761904761905,0.9888888888888889,1.0
88,nottermantrans_selected,nottermantrans_selected,7,---,0.054738924238416885,0.1342262265122967,0.9726190476190477,0.9722222222222222,0.9722222222222222
89,nottermantrans_selected,nottermantrans_selected,7,---,0.0,0.005060758119747962,1.0,1.0,1.0
90,nottermantrans_selected,nottermantrans_selected,7,---,0.32880509341204606,0.01955220704216035,0.9904761904761905,0.9916666666666667,1.0
